DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT18R,DA0912DR18R,DAGC4X18R,DAGC5X17R,DAGC6X16R,DA0GR18N,DA0GS18N,DDA00A001S19R,DDA00A001219R,DDA00A001319R,DDA00AR01S19R,DDA00AR01219R,DDA00AR01319R,DDA00AW01S19R,DDA00AW01219R,DDA00AW01319R,DDA00AM01S19R,DDA00AM01219R,DDA00AM01319R,DDA00AC01S19R,DDA00AC01219R,DDA00AC01319R,DDA00AS01S19R,DDA00AS01219R,DDA00AS01319R,DDB00A001S19R,DDB00A001219R,DDB00A001319R,DDH00A001S19R,DDH00A001219R,DDH00A001319R,DDW00A001S19R,DDW00A001219R,DDW00A001319R,DDI00A001S19R,DDI00A001219R,DDI00A001319R,DD300A001S19R,DD300A001219R,DD300A001319R,DD400A001S19R,DD400A001219R,DD400A001319R,DD200A001S19R,DD200A001219R,DD200A001319R,DDE00A001S19R,DDE00A001219R,DDE00A001319R,DA0CT18R,DA0CC18R,DA0CSA18R,DA0CAA18R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRAOPRT,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFRAORVT,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
SHINER ISD,143903,143 LAVACA,03,A,2,662,5.4,17.8,73.7,0.5,0.6,0,2,34,1.7,12.1,1.7,29.9,1.5,97.1,0.0,100,100,100,41,36,91,68,37,89,66,31,88,48,20,92,72,45,98,78,44,89,64,36,76,51,20,84,49,24,93,73,41,100,57,0,100,78,67,.,.,.,88,69,31,85,52,23,75.6,61.3,1113,22.1,85.9,51.2,1.2,2.6,3.5,59.6,8.2,25,100000,74205,52638,52267,10.2,7.7,12.9,5.9,19.0,15,4,0,0,98,2,86.1,5.3,0,0,8.6,0,876573,1.11,6994864,10778,6558055,8.6,86.6,4.8,436809,936922,0,10508205,5929068,9136,56.1,6.5,4.8,11.9,20.8,3325239,5124,48.3,5.1,5.6,0,4.8,0.3,5,1.1,1.1,28.7,500 to 999,Rural,"$786,525 and over",Under $1.1701
VYSEHRAD ISD,143904,143 LAVACA,03,B,1,126,14.3,8.7,72.2,0,1.6,0,3.2,43.7,0.8,4.8,0,0,4,96.7,.,.,.,.,.,.,86,51,24,87,47,27,70,43,13,87,53,23,93,70,33,90,30,10,65,30,13,88,44,6,90,56,30,.,.,.,100,60,0,.,.,.,57,14,0,78,41,17,.,.,.,.,18.5,11.1,1.7,1.7,1,60.1,15.8,19.7,90000,90000,38712,48462,5.3,6.8,11.3,21.5,15.4,7.8,0,8.8,0,91.2,0,83.8,7.3,8.8,0,0,0,473219,1.04,1234435,10202,1213807,44,50.7,5.3,20628,1296207,0,1357706,1140151,9423,64.7,9.7,6,6.5,13.1,738031,6099,49.7,5.8,11.5,0.1,0,0.3,0,0,4.9,27.7,Under 500,Rural,"$456,961 to < $484,748",Under $1.1701
SWEET HOME ISD,143905,143 LAVACA,03,B,1,143,0,14,83.2,0,0,0,2.8,17.5,0,4.2,0,0,8.4,96.9,.,.,.,.,.,.,92,62,28,89,63,27,85,42,15,93,61,26,100,79,46,100,60,30,.,.,.,88,52,10,92,65,33,.,.,.,.,.,.,.,.,.,100,40,0,90,50,13,.,.,.,.,22.5,11.9,4.4,0,4.2,52.7,17.6,21.2,83000,.,7924,47420,8.8,6.3,12,0,17.8,8.3,0,0,16.7,83.3,0,88.6,0,11.4,0,0,0,434677,1.04,1361734,8729,1320641,42.3,55.8,2,41093,119187,0,1337097,1327145,8507,59.4,9,7.2,8.2,16.3,788425,5054,52.3,4.1,5.2,0,0,5.9,0,0,3.1,29.5,Under 500,Rural,"$413,609 to < $442,675",Under $1.1701
EZZELL ISD,143906,143 LAVACA,03,B,1,92,2.2,6.5,85.9,0,0,0,5.4,46.7,0,4.3,0,0,1.1,97.5,.,.,.,.,.,.,89,57,32,84,52,32,80,55,30,95,63,30,94,59,41,100,50,17,60,40,0,80,60,40,92,60,34,.,.,.,.,.,.,.,.,.,67,22,11,89,48,23,.,.,.,.,15.5,8.5,2.3,0,0,54.9,19,23.8,76000,.,.,46303,0,5.9,10.8,11.6,16.9,7.5,0,0,0,100,0,100,0,0,0,0,0,786524,1.293,1388204,13610,1112358,12.6,79.9,7.5,275846,330146,0,1138340,872306,8552,57,12.8,7.2,8,15,497094,4873,53.9,3.6,8.3,0,0,0.1,0,0,0,34.1,Under 500,Rural,"$741,925 to < $786,525",$1.1701 to under $1.3050
GIDDINGS ISD,144901,144 LEE,13,B,4,1854,8,57.2,31.7,0.1,0.7,0,2.2,66.1,20.8,10.9,12.2,25.5,3.3,95.7,0.0,98.1,95.9,96,154,133,76,46,20,72,43,14,63,28,9,81,46,23,81,50,19,90,71,46,70,36,10,74,41,16,81,57,29,.,.,.,96,67,42,.,.,.,79,42,17,72,38,14,59.1,35.2,1047,17.6,236.7,140.3,2.1,3.3,5.9,59.3,12.4,17,92341,65766,56696,49139,21.8,7.8,13.2,26.8,14.9,14.1,18.7,2.1,14.1,83.1,0.7,84.7,5.4,0.9,3.5,5.4,0,389104,1.4,22488571,11886,20005806,41.1,49.2,9.7,2482765,5479950,0,21428213,17983334,9505,58.6,7.3,4.9,9.6,19.6,10543072,5572,43.9,13.5,7.5,1.5,3,0.5,4.2,1.2,0,24.9,"1,600 to 2,999",Non-metropolitan Stable,"$378,489 to < $413,609",$1.3050 to under $1.4272
LEXINGTON ISD,144902,144 LEE,13,B,3,1023,7.3,17.2,70.1,0.5,0.1,0.2,4.6,39.1,2.3,9.4,2.1,32.9,5.2,96.2,0.0,98.3,100,96.1,66,66,81,49,21,79,46,18,68,36,12,83,49,21,89,61,33,86,63,35,68,35,7,65,37,15,87,54,24,75,38,25,-1,-1,-1,-1,-1,-1,79,46,24,72,40,16,69.7,43.5,1019,21.1,156.3,83.4,1.5,3.2,7.9,53.4,10.1,23.9,87808,67554,57729,45543,10.5,6.5,12.3,35.8,13.0,7.6,20.6,2.4,3.6,92.8,1.2,72.5,7.4,7.7,0,8.3,4,387960,1.212,11501422,11287,10785816,49.2,43,7.8,715606,3482686,0,10745999,9762331,9580,55.1,8.7,5.4,9.8,21.1,5377450,5277,40.2,9.8,6.5,0.2,6.3,1.4,4.6,2.4,0.7,27.9,"1,000 to 1,599",Non-metropolitan Stable,"$378,489 to < $413,609",$1.1701 to under $1.3050
DIME BOX ISD,144903,144 LEE,13,B,1,153,35.3,35.3,22.2,0,0,0,7.2,74.5,11.8,16.3,13.7,38.6,8.5,96.2,0.0,100,100,100,13,11,65,37,14,59,33,12,41,12,0,71,37,18,66,41,13,84,68,26,58,30,8,64,33,11,79,60,33,.,.,.,.,.,.,.,.,.,63,26,11,61,33,12,46.2,0,-1,14.2,30.7,17,3.3,9.8,1.6,55.4,9.4,20.5,93460,59333,53120,43459,20.4,5,9,41.2,11.7,11.8,35.1,0,0,100,0,97.6,0,0,0,2.4,0,687671,1.17,2799728,16866,2429107,32,57,11.1,370621,1679794,0,2316194,2236297,13472,53.5,11.8,9,10.7,15,1195520,7202,36.3,6.4,13.2,0.4,4.5,0.3,1.9,2.2,1.2,33.7,Under 500,Rural,"$639,298 to < $741,925",Under $1.1701
BUFFALO ISD,145901,145 LEON,06,A,3,944,3.9,41.2,51.2,0,0.8,0,2.9,65.7,16.4,7.9,16.1,28.5,5.7,96,0.0,98.1,97.2,100,53,49,85,53,23,80,48,19,81,38,14,93,67,31,87,53,18,82,50,29,64,17,2,81,49,18,89,59,29,.,.,.,93,93,47,.,.,.,97,49,11,83,49,20,60.4,28.1,1011,18.3,150.4,77.9,1.3,3.6,3.4,51.8,13.4,26.5,103670,72189,56593,44958,21.2,6.3,12.1,27,12.8,16.2,28.6,2.6,2.6,94.9,0,84.1,3.9,0.3,0.3,8.4,3.1,409927,1.297,10282258,10881,9768385,44.4,46.5,9.1,513873,2714622,0,10703791,8958319,9480,55.7,8.5,6.6,9.5,19.8,4984905,5275,41.7,6.3,10.6,1.5,6.2,0.2,4.9,0.9,0.3,27.4,500 to 999,Non-metropolitan Stable,"$378,489 to < $413,609",$1.1701 to under $1.3050
CENTERVILLE ISD,145902,145 LEON,06,B,2,653,10.3,10.6,77,0.5,0.5,0,1.2,49,2.9,8.9,2.9,32,2.5,95.8,0.5,97.9,97.4,94.5,45,40,86,51,19,84,53,19,83,34,11,86,52,18,88,53,20,86,58,30,72,25,5,76,38,9,88,56,22,100,40,40,-1,-1,-1,.,.,.,82,73,27,78,36,10,57.8,30.8,1044,17.9,102.3,58.1,2,2.9,5.5,56.8,10.8,22,98017,69467,58478,47292,15,6.4,11.2,18.4,15.7,25.7,10.8,5.2,3.4,91.4,0,69.5,14.4,4,1.4,7.2,3.6,455532,1.32,8561436,12535,7711481,45.9,50,4.1,849955,1493359,0,9434919,8368717,12253,52,6.4,4.4,17,20.1,4350626,6370,35.2,16,7.9,0.1,5,1.1,3.3,0.8,0,30.7,500 to 999,Rural,"$442,675 to < $456,961",$1.3050 to under $1.4272
NORMANGEE ISD,145906,145 LEON,06,A,3,605,7.1,14,74.2,0.7,1.2,0,2.8,53.6,2.8,9.4,2.8,40.3,6.4,95.6,0.4,98.2,100,97.7,58,52,80,48,21,79,50,22,67,35,12,84,50,25,83,49,16,77,47,29,63,25,4,80,43,14,81,51,25,67,50,17,89,78,33,.,.,.,89,67,22,72,38,15,56.9,24.2,985,19.6,91,46.3,2.2,4.2,1.8,50.9,13,27.9,92738,72241,49196,46919,14.2,6.6,13.1,24.5,12.8,6.9,22.7,0,6.5,93.5,0,83.4,5.2,0,0,8.8,2.6,469389,1.46,7021111,11529,5756321,40.9,53.3,5.8,1264790,1371560,0,14620593,5645463,9270,55.5,9.5,5.6,10.5,18.9,3134697,5147,39.2,8.9,7.2,0.2,6.8,0.4,4.2,1.1,1.9,30,500 to 999,Rural,"$456,961 to < $484,748",$1.4272 and over
OAKWOOD ISD,145907,145 LEON,06,B,2,199,19.6,17.1,58.3,0,0,0.5,4.5,84.4,1.5,8.5,1.5,39.7,3.5,97,0.0,100,100,100,12,9,82,42,14,82,45,12,77,45,14,85,41,20,76,32,6,83,38,13,74,25,7,88,48,16,84,47,16,.,.,.,.,.,.,.,.,.,67,33,0,80,38,11,41.7,80,1112,-1,37.8,20.2,7.9,10.6,0.2,53.5,13.2,14.6,60823,47837,55504,39029,14.6,5.3,9.9,44.6,11.1,21.2,45.2,9.9,5,85.1,0,77.1,0,5,0,14.3,3.7,574378,1.244,2971086,14855,2653745,31.5,59.2,9.3,317341,1106519,0,2527065,2303444,11517,50.1,13.8,7.3,10,18.9,1153364,5767,38.6,3.7,11,0,6.2,0.2,6.4,0.6,0,33.3,Under 500,Rural,"$525,460 to < $606,813",$1.1701 to under $1.3050
LEON ISD,145911,145 LEON,06,B,3,746,0.5,31,64.7,0.1,2.3,0,1.3,52.4,14.9,8.2,14.3,29.5,8.8,95.5,0.9,94.4,98.4,98.2,51,42,80,51,24,78,51,21,75,51,28,81,46,23,89,65,36,80,45,23,90,70,20,73,43,17,84,54,28,-1,-1,-1,97,78,31,.,.,.,73,73,33,73,44,18,51,23.1,1034,-1,117.8,62.4,0.8,4.6,3.3,53,7.5,30.8,106800,75165,60799,50812,11.8,6.3,12,18.9,18.3,22.3,18.1,3.2,4.7,90.5,1.6,77.5,8.5,6.1,0.2,7.7,0,1010043,1.23,11232540,14799,9866692,28.6,66.9,4.5,1365848,10300171,0,10382466,8832230,11637,52,7.7,5.9,15.8,18.5,4596674,6056,44.3,4.2,5.9,0.5,4.5,0.7,3.9,0.6,2,33.3,500 to 999,Rural,"$786,525 and over",$1.1701 to under $1.3050
CLEVELAND ISD,146901,146 LIBERTY,04,C,7,6568,5.4,74.4,17.9,0.4,0.3,0,1.5,86.5,42.5,7.4,41.2,28.3,4.2,93.9,2.3,83.1,86.4,86.5,264,230,66,34,12,61,30,10,55,24,7,74,38,16,66,34,9,70,44,21,54,26,11,66,33,11,70,40,15,66,56,3,100,66,40,-1,-1,-1,66,30,11,65,33,11,89.4,8.9,861,16.8,778.5,421.7,1.2,2.7,4.8,54.2,8.7,28.5,114107,74068,66667,54133,38.9,8.4,15.6,63.4,6.7,13,20.9,10.3,21.3,65.8,2.6,84.3,7.2,0,3,5.4,0.1,191767,1.415,61879115,11123,55156683,60.2,27.4,12.4,6722432,20527006,0,78541256,47573124,8552,58.9,6.1,5.8,11.4,17.8,28001241,5033,46.5,7.1,9.6,1.8,3.5,0.4,2,0.8,1.3,27.2,"5,000 to 9,999",Other Central City Suburban,"$164,221 to < $208,918",$1.3050 to under $1.4272
DAYTON ISD,146902,146 LIBERTY,04,C,7,5406,7.2,42.2,47.1,1,0.5,0.1,1.9,66.7,18.4,9.6,16.4,25.5,4.4,94.9,0.7,97.1,96.3,96.9,340,309,68,37,14,64,35,12,55,27,6,75,41,18,72,42,14,71,38,18,56,23,6,70,37,13,68,39,16,73,48,22,98,70,38,.,.,.,65,41,17,65,33,12,42.9,27.4,1010,21.1,723.2,338.6,1.5,3,10,46.8,13,25.7,101180,74340,60876,51849,31.3,7.5,16,51.4,8.6,21.1,26.1,8.3,15.3,74.9,1.5,63.4,10.7,5.3,9.1,5.4,6.1,297005,1.39,57010131,10587,50037458,48.9,40.3,10.8,6972673,9884488,0,57077211,47882224,8892,52.5,6.8,5.4,11.3,23.9,25151531,4671,41,13.8,6.2,1.1,3.7,3.4,3.1,1,1.1,25.7,"5,000 to 9,999",Independent Town,"$272,534 to < $299,260",$1.3050 to under $1.4272
DEVERS ISD,146903,146 LIBERTY,04,A,2,176,5.1,28.4,63.6,0,0,0.6,2.3,48.3,15.9,9.7,15.9,0,6.3,97.1,.,.,.,.,.,.,96,80,50,94,80,50,100,83,57,99,85,54,100,85,47,81,38,25,100,100,93,98,74,38,95,82,54,.,.,.,.,.,.,-1,-1,-1,.,.,.,92,68,34,.,.,.,.,26.2,13.9,0.4,0.7,0,53,0,45.9,115715,115715,.,59605,11.5,6.7,12.7,30,13.9,19.5,7.9,0,0,100,0,92.8,7.2,0,0,0,0,963443,1.126,2319654,13255,2135610,14.1,79.3,6.6,184044,1926706,0,2117353,1979903,11314,51.7,16.4,4.1,15.9,11.8,1023599,5849,42.3,3.6,8.8,0.6,3.1,0.5,1.2,0,0.8,39.2,Under 500,Rural,"$786,525 and over",Under $1.1701
HARDIN ISD,146904,146 LIBERTY,04,B,3,1427,3.6,13.8,79.1,0.9,0.1,0,2.5,55.9,2.2,7.4,2.2,24.7,3,94.2,0.0,100,100,100,73,73,72,39,15,69,38,15,65,32,9,75,39,16,76,42,15,80,52,24,62,14,4,71,41,16,73,40,16,71,33,14,-1,-1,-1,.,.,.,60,35,12,64,31,10,63,34.8,1004,20.3,202.2,103.1,1,4.5,3.3,51,9.4,30.8,101009,74170,55403,48482,14.3,7.1,13.8,28.5,13.2,12.3,15.1,3.2,4.9,91.9,0,82,4.9,3.9,0,5.9,3.4,272533,1.325,15346315,10915,13873175,55.6,35.1,9.3,1473140,1458287,0,15955618,13911876,9895,51.4,8.7,6.7,13.2,19.9,7148959,5085,44.2,7.4,5.3,0.1,3.2,0,3.8,0,2.1,33.9,"1,000 to 1,599",Non-metropolitan Stable,"$250,173 to < $272,534",$1.3050 to under $1.4272
HULL-DAISETTA ISD,146905,146 LIBERTY,05,B,3,479,9.6,10.4,76.8,0.4,0,0,2.7,71.8,3.1,11.1,3.1,31.7,4.4,94.5,0.0,97.7,100,97.3,44,39,63,29,10,59,30,11,57,32,14,76,37,13,52,15,1,61,25,10,67,34,11,61,25,11,63,30,10,.,.,.,.,.,.,.,.,.,38,14,5,60,28,9,61.4,14.8,943,17.6,101.6,47.7,2,2.6,2.1,46.9,22.1,24.4,107616,76776,46434,45716,14.1,4.7,10.1,40.6,10.4,16.5,22.4,10.5,2.1,85.3,2.1,80.7,2.1,2.8,0,14.4,0,479055,1.308,13199424,27672,6439011,39.9,46.9,13.2,6760413,978036,0,10716888,7775298,16300,45.6,8.5,4.5,25.3,16.1,3545736,7433,36.5,6.9,7,0.1,4.2,0.2,2.9,0.7,0,41.7,Under 500,Rural,"$456,961 to < $484,748",$1.3050 to under $1.4272
LIBERTY ISD,146906,146 LIBERTY,05,B,4,2220,15.2,39.2,40.7,0.1,0.8,0,4,63.3,17.7,12,15,26.8,9.2,95.4,2.3,91.2,93.2,96.7,153,126,75,44,17,73,42,16,67,30,8,76,42,18,86,60,25,74,42,19,65,33,11,76,40,15,78,49,20,-1,-1,-1,100,88,80,.,.,.,73,46,20,70,37,14,51.6,38,1038,21.4,345.7,134.6,1.6,1.7,8.3,38.9,19.8,29.6,106808,90501,63437,52301,25.6,6.4,16.5,36.5,12.5,12.3,21.8,8.6,9.7,81.7,0,67,9.5,3.1,11.2,7.3,1.9,400652,1.394,30453263,14467,27262544,34.3,47,18.7,3190719,9281858,0,34564026,25492043,12110,50.2,8.6,5.2,11.5,24.5,12805831,6084,30.4,23.1,7.8,3.8,3.4,0.2,2.8,0.4,1.8,26.3,"1,600 to 2,999",Non-metropolitan Stable,"$378,489 to < $413,609",$1.3050 to under $1.4272
TARKINGTON ISD,146907,146 LIBERTY,04,B,4,1805,0.6,11.7,85.2,0.3,0.2,0.3,1.7,49.5,3.4,11.9,3.3,27.6,4.5,95.6,0.9,98.3,99,96.9,114,107,80,48,21,75,45,16,70,37,13,84,50,22,84,53,20,85,67,49,58,33,25,79,46,17,79,49,22,-1,-1,-1,86,0,0,100,83,50,83,44,23,75,39,15,50.9,34.5,1025,20,251,127.4,1.5,2.9,2.8,50.8,14.2,27.8,99619,75643,58719,51804,4.4,7.2,14.2,31.9,12.0,18.5,22.6,1.6,3.1,95.3,0,77.1,8.9,3.3,0,7.1,3.7,260580,1.15,19327664,10608,18579889,53.9,35.9,10.3,747775,5017872,0,18446232,16942537,9299,54.3,6.7,5.9,14.1,18.9,9202430,5051,41.2,10.4,6.3,0.4,7.4,0.9,2.6,0.8,0,30,"1,600 to 2,999",Non-metropolitan Stable,"$250,173 to < $272,534",Under $1.1701
COOLIDGE ISD,147901,147 LIMESTONE,12,A,2,308,16.9,51.9,27.9,0,0,0,3.2,79.2,12.3,15.6,12.3,34.4,0.6,96.5,0.0,100,100,92.9,17,17,78,48,20,70,43,15,69,33,10,86,59,27,83,47,22,83,47,22,73,45,16,76,45,18,86,58,28,.,.,.,.,.,.,.,.,.,71,50,14,75,45,17,47.1,25,1009,-1,50.8,29,2,3.9,2,57.1,7.9,27.2,110166,69308,62045,44866,19.7,6.1,10.6,27.6,13.0,17.2,35.1,3.4,6.9,89.7,0,76,6.1,5.7,3.4,8.2,0.5,124538,1.26,4105616,13287,3919646,74.5,14.3,11.2,185970,3255136,0,3786189,3409910,11035,57.7,9.9,6.9,10.9,14.5,1968319,6370,42,8.3,11.2,0.4,5.3,0.1,3.5,0.7,1.4,27.1,Under 500,Rural,"$123,158 to < $164,221",$1.1701 to under $1.3050
GROESBECK ISD,147902,147 LIMESTONE,12,B,5,1682,11,28.8,55.1,0.3,0.9,0,4,71.5,5.3,11.5,5.3,25.7,7.7,94.8,0.4,100,98.1,97.5,127,116,71,38,16,68,39,16,61,29,8,75,38,17,74,44,18,73,37,17,48,17,3,67,31,11,78,46,21,58,25,8,88,69,63,.,.,.,74,39,17,65,32,11,49.6,25.4,1059,19,264.1,123.6,1.1,2.9,5.7,46.8,13.4,30,100940,74987,57894,50385,21,6.4,13.6,20.6,15.4,25.1,24.5,4.4,2.8,91.2,1.6,77.7,9.4,4,1.1,4.9,3,767250,1.238,21255910,11336,18637570,19.9,66.6,13.5,2618340,5996431,0,22876312,18904659,10082,53.6,6.3,4.2,14.6,21.2,10136763,5406,37.8,14.4,7.5,0.9,2.3,0.9,3.8,0.7,1.8,29.8,"1,600 to 2,999",Non-metropolitan Stable,"$741,925 to < $786,525",$1.1701 to under $1.3050
MEXIA ISD,147903,147 LIMESTONE,12,B,5,1889,26,45.1,24.6,0.3,0.9,0,3.1,68.9,18.3,11.1,17.8,26.8,2.9,94.7,2.4,93,97.8,94.2,123,112,63,31,11,62,32,11,58,25,5,69,32,12,57,27,9,56,33,14,55,24,7,63,29,10,71,42,17,.,.,.,93,73,37,-1,-1,-1,61,28,14,61,28,9,67.5,8.4,-1,17.4,323.8,146.6,1.9,2.6,8.5,45.3,15.3,26.4,89515,67550,56235,45547,40.9,5.8,12.9,44.4,8.5,20.1,14.1,13.8,11.5,71.3,3.4,67.5,17,3.7,4.4,6,1.4,227549,1.204,21040467,11715,20626871,56.4,26.2,17.5,413596,5380258,0,27126976,20310553,11309,51.8,10,5.9,12,20.3,10522929,5859,30.7,18.5,11.6,0.5,4.3,0.2,4.1,0.8,1.1,28.3,"1,600 to 2,999",Non-metropolitan Stable,"$208,918 to < $250,173",$1.1701 to under $1.3050
BOOKER ISD,148901,148 LIPSCOMB,16,A,2,395,0,73.4,25.1,1,0,0,0.5,66.6,29.9,8.9,29.9,31.1,3.8,96,1.0,100,100,100,19,15,85,55,28,82,50,21,82,40,18,95,71,42,79,47,20,71,41,27,.,.,.,81,48,22,94,71,41,-1,-1,-1,.,.,.,.,.,.,100,100,67,81,46,21,63.2,25,-1,20.5,69.9,38.4,1.4,3.5,2.3,54.9,12.1,25.7,95000,73410,56715,45002,28.6,5.7,10.3,28.8,13.0,4.4,12.5,0,13,87,0,83.8,4.5,1.3,3.1,7.2,0,509205,1.17,5187923,13337,5149922,42.3,51.3,6.4,38001,2810291,0,4606675,4549706,11696,57.2,8.9,5.7,12.7,15.6,2601051,6687,45.5,5.5,9,1.6,4.5,0,3.5,0.2,1,29,Under 500,Rural,"$484,748 to < $525,460",Under $1.1701
FOLLETT ISD,148902,148 LIPSCOMB,16,B,1,133,0,31.6,65.4,0.8,0,0,2.3,48.9,10.5,6.8,10.5,27.1,1.5,96.1,0.0,100,100,92.9,11,11,82,52,23,85,53,21,68,47,26,83,50,22,84,58,29,80,55,25,.,.,.,75,48,20,86,53,23,.,.,.,.,.,.,.,.,.,100,100,80,76,44,18,81.8,22.2,-1,19,33.7,18.8,3,3,5.6,55.8,10.9,21.8,111122,105124,44976,44996,14.7,3.9,7.1,49.5,9.7,26.6,24.6,0,0,89.4,10.6,85.7,0,4.6,0,8.1,1.6,741924,1.263,2512639,17210,2148820,26.9,68.3,4.8,363819,3646535,0,2283799,1998176,13686,51.9,14,6.7,10.8,16.6,1036577,7100,35,4,8.8,0.8,2.5,0.1,4.7,1.5,7.6,35.1,Under 500,Rural,"$639,298 to < $741,925",$1.1701 to under $1.3050
HIGGINS ISD,148903,148 LIPSCOMB,16,C,1,104,1.9,26,69.2,1.9,0,0,1,66.3,10.6,13.5,10.6,38.5,1,94.9,2.8,85.7,88.9,100,6,5,74,40,14,80,48,14,80,50,10,79,33,14,58,37,16,59,29,12,-1,-1,-1,65,40,16,76,38,12,86,43,0,.,.,.,.,.,.,-1,-1,-1,68,36,15,83.3,20,.,18.8,24.3,15.8,4.1,0.5,0,64.9,1.9,28.6,75000,60000,.,41423,8.2,4.3,6.6,41.2,11.4,18.8,48,0,6.3,87.4,6.3,80.3,6,5.8,0,7.9,0,1672875,1.45,2886328,23658,2077937,12,85.1,2.9,808391,582629,0,2559780,1892258,15510,49.3,17.7,4.3,14.9,13.7,933464,7651,38.4,3.6,5.9,0.6,1.8,0.4,1.8,0.5,3.2,43.9,Under 500,Rural,"$786,525 and over",$1.4272 and over
DARROUZETT ISD,148905,148 LIPSCOMB,16,B,1,118,0,46.6,47.5,0.8,0,0,5.1,68.6,2.5,10.2,2.5,33.9,0.8,96.8,0.0,100,100,100,11,11,66,28,8,62,20,4,67,20,7,70,36,14,68,32,6,60,30,10,.,.,.,57,26,9,73,29,8,.,.,.,.,.,.,.,.,.,88,38,13,61,23,6,100,18.2,.,18.4,25.1,13.2,4,2.2,3.1,52.8,15.4,22.5,53000,75000,54408,46910,18.4,4.7,8.9,21.8,18.6,56.4,18,0,0,100,0,85.2,3.3,4,0,7.6,0,630698,1.907,2497426,21530,1789135,49.9,45.4,4.7,708291,1029702,0,2461712,1811180,15614,55.3,14.1,4.2,10.6,15.8,1001717,8635,36.9,2.9,10.9,0.4,7.1,0.5,3,0.5,3.5,34.3,Under 500,Rural,"$606,813 to < $639,298",$1.4272 and over
GEORGE WEST ISD,149901,149 LIVE OAK,02,A,4,1073,0.4,57.4,39.7,0.4,0.1,0,2.1,61.5,2.9,10.3,2.5,30.9,9.3,95.1,0.6,93.2,93,98.6,68,65,87,59,27,87,59,25,78,41,12,91,64,31,86,58,27,86,59,36,-1,-1,-1,85,53,22,91,68,34,100,86,43,.,.,.,.,.,.,86,67,36,83,50,20,67.6,26.1,1069,19.6,169.2,78.7,1.2,2.4,2.6,46.5,17.6,29.8,109247,75852,52498,46403,37.4,6.3,13.6,24.1,16.7,20,18.6,1.3,18.2,80.6,0,82.4,5.3,0.2,0,5,7.2,697030,1.318,12922886,11834,10885002,17.2,73.5,9.3,2037884,2693463,0,14191319,10370904,9497,54.2,7.1,4.6,13.5,20.6,5622967,5149,42.1,8,8.9,0.1,4.6,0.7,5.3,1.1,0,29.3,"1,000 to 1,599",Non-metropolitan Stable,"$639,298 to < $741,925",$1.3050 to under $1.4272
THREE RIVERS ISD,149902,149 LIVE OAK,02,B,2,628,0.8,60.7,37.4,0,0.2,0.2,0.8,60.2,4.9,12.1,4.9,38.7,9.6,95.5,0.8,91.7,93.5,86,66,41,76,43,17,72,41,13,68,34,10,79,45,20,87,54,25,85,36,16,43,14,0,73,39,13,81,47,22,.,.,.,-1,-1,-1,-1,-1,-1,80,80,20,71,35,11,65.2,25.6,974,19.6,102.1,54.5,2,4.3,5.5,53.4,15.3,19.6,115342,81994,57114,52448,42.7,6.2,11.5,16.9,16.3,15,15.4,1.8,26.9,71.3,0,87,2.4,0,0,8,2.5,2020571,1.226,11621549,17166,8789092,3.1,90.2,6.7,2832457,752649,0,12400146,8975732,13258,49,9.3,5,14.1,22.5,4399785,6499,37,9.1,6.9,0.4,4.3,0.7,4.5,0.8,1.9,34.3,500 to 999,Rural,"$786,525 and over",$1.1701 to under $1.3050
