DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT19R,DA0912DR19R,DAGC4X19R,DAGC5X18R,DAGC6X17R,DA0GR19N,DA0GS19N,DDA00A001S20R,DDA00A001220R,DDA00A001320R,DDA00AR01S20R,DDA00AR01220R,DDA00AR01320R,DDA00AW01S20R,DDA00AW01220R,DDA00AW01320R,DDA00AM01S20R,DDA00AM01220R,DDA00AM01320R,DDA00AC01S20R,DDA00AC01220R,DDA00AC01320R,DDA00AS01S20R,DDA00AS01220R,DDA00AS01320R,DDB00A001S20R,DDB00A001220R,DDB00A001320R,DDH00A001S20R,DDH00A001220R,DDH00A001320R,DDW00A001S20R,DDW00A001220R,DDW00A001320R,DDI00A001S20R,DDI00A001220R,DDI00A001320R,DD300A001S20R,DD300A001220R,DD300A001320R,DD400A001S20R,DD400A001220R,DD400A001320R,DD200A001S20R,DD200A001220R,DD200A001320R,DDE00A001S20R,DDE00A001220R,DDE00A001320R,DA0CT19R,DA0CC19R,DA0CSA19R,DA0CAA19R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTINFP,DPSTASFP,DPSTPIFP,DPSTTWFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRAOPRT,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFRAORVT,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
DIVIDE ISD,133905,133 KERR,20,Not Rated: Declared State of Disaster,1,24,0,8.3,91.7,0,0,0,0,0,0,16.7,0,0,0,97.1,.,.,.,.,.,.,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,.,.,.,.,3.3,1.9,1.2,1.2,0,58.2,39.4,0,126580,126580,.,86650,0,7.3,12.5,0,17.0,100,0,0,0,100,0,0,0,0,100,0,0,0,0,0,3063337,0.87,432641,20602,432641,6.2,93.8,0,0,3378060,0,366835,366835,17468,64.2,13.1,9.5,6.2,7.1,235434,11211,73,1,0,0.1,0,0,0,0,0,26,Under 500,Rural,"$847,341 and over",Under $1.1701
JUNCTION ISD,134901,134 KIMBLE,15,Not Rated: Declared State of Disaster,3,584,0.2,39,59.6,0,0.2,0,1,67.3,3.6,13.5,3.6,34.2,8.9,95.3,0.0,100,100,100,51,38,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,56.9,48.3,1020,20.7,101.5,60.1,1.5,1.9,4.9,59.2,10.7,21.8,102987,66984,59320,46808,16.4,5.8,9.7,40.8,13.4,18.4,21.7,0,5,95,0,0,0,0,74.1,4.7,9.7,1.7,7.5,2.4,672232,1.033,7693270,12716,7395970,32.4,59.4,8.2,297300,2135342,0,7423835,6675167,11033,55.9,6.8,5.4,10.2,21.8,3729858,6165,38.9,8.7,13.1,0.2,4.1,0.7,7.7,0.6,0.1,25.9,500 to 999,Rural,"$636,179 to < $697,496",Under $1.1701
GUTHRIE CSD,135001,135 KING,17,Not Rated: Declared State of Disaster,1,101,0,7.9,91.1,0,1,0,0,23.8,4,6.9,4,32.7,5,95.5,0.0,100,100,100,6,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,66.7,-1,.,-1,32.5,18.5,2,3.4,0.7,56.9,9.2,27.7,106100,70658,54412,61919,9.2,3.1,5.5,29.7,14.6,27,28.9,0,0,100,0,0,0,0,90.1,0,0,0,9.9,0,1649176,1.318,3408297,33746,2776133,26.6,72.2,1.2,632164,1072130,0,3649826,3134762,31037,48.3,10.6,1.8,19.3,20,1514387,14994,43.5,1.5,2.7,0.1,5.5,0.2,2.2,0.4,0,44.1,Under 500,Rural,"$847,341 and over",$1.3141 to under $1.4301
BRACKETT ISD,136901,136 KINNEY,20,Not Rated: Declared State of Disaster,3,571,0.2,70.4,27.8,0.2,0.2,0,1.2,58.3,4.4,14,4.2,38.7,7.2,95.3,0.0,97.2,97.8,97.9,36,30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,69.4,36,1039,19.9,113.7,55.1,1.8,2.5,2.6,48.5,17.6,27,84229,73861,45023,49297,46.8,5,10.4,30.8,15.5,12.9,16.3,0,16.5,81.6,0,0,0,1.8,84.9,4.2,2.1,1.4,4.5,2.8,546144,1.04,7404821,13270,7354821,39.2,51,9.8,50000,2010063,0,7779357,7659561,13727,52.2,10,4.5,16.5,16.8,3999140,7167,35.9,8.7,8.9,1.2,3.5,0.1,3.5,2,1.4,34.8,500 to 999,Rural,"$530,196 to < $559,445",Under $1.1701
KINGSVILLE ISD,137901,137 KLEBERG,02,Not Rated: Declared State of Disaster,7,3083,3.5,85.4,10,0.1,0.7,0.1,0.3,76.2,3.7,14.4,3.1,27.6,3.1,93.5,4.3,79.1,90.3,89.5,202,185,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,47.5,26,988,19.3,473.1,202.8,1.3,3.6,6.1,42.9,14.5,31.7,101611,70733,59537,50467,82.2,6.5,15.2,30.7,12.1,23.4,29.6,2.9,71.9,22.8,0.4,0,1.5,0.5,80.5,9.7,2.3,0.7,4.2,2.6,250704,1.519,41953132,12663,37812590,52.3,27.6,20.1,4140542,9689109,0,41563754,35387883,10682,52.9,7.2,5.8,13.5,20.6,18730215,5654,38.2,13.8,9.8,0.1,3.5,0.4,2.3,0.3,0,31.7,"3,000 to 4,999",Independent Town,"$225,013 to < $266,163",$1.4301 and over
RICARDO ISD,137902,137 KLEBERG,02,Not Rated: Declared State of Disaster,2,672,1,83,15.5,0,0.1,0,0.3,49.3,2.5,8.9,2.4,0,7,96.8,.,.,.,.,.,.,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,.,.,.,.,96.5,46,3.1,2.1,5.2,47.7,13.3,28.7,97572,75805,65986,59403,76.2,7,14.6,8.7,17.4,19.6,7.5,4.3,60.9,34.8,0,0,0,0,94.3,3.5,2.2,0,0,0,227453,1.17,8617370,12507,8617370,62.4,27.1,10.5,0,3084360,0,7173442,6856176,9951,57.1,7.3,3,11.7,20.9,3917829,5686,32.1,8.7,24.8,0.7,0,0.3,0.8,0,1.9,30.7,500 to 999,Rural,"$225,013 to < $266,163",Under $1.1701
RIVIERA ISD,137903,137 KLEBERG,02,Not Rated: Declared State of Disaster,2,427,0,72.6,25.8,0,0,0,1.6,63.2,3,6.8,3,60.2,5.6,95.9,0.6,100,95.1,97.1,41,39,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,97.6,10,903,17,70.1,37.5,2.9,4.3,6.9,53.5,8.4,24,94305,81832,69604,54899,52,6.1,11.4,39.5,13.2,23.7,24.6,2.6,39.6,57.8,0,0,0,0,85,2.6,0,0,12.4,0,534865,1.17,6498275,14836,6488083,38.3,54.2,7.5,10192,1623715,0,6400279,6065160,13847,52.8,10.5,4.8,13.9,18,3203680,7314,37.2,5.4,9.9,0.4,9.6,0,3.4,1.9,0,32.2,Under 500,Rural,"$530,196 to < $559,445",Under $1.1701
SANTA GERTRUDIS ISD,137904,137 KLEBERG,02,Not Rated: Declared State of Disaster,2,810,1.4,74.9,19.5,0.5,2.8,0,0.9,43.7,0.9,3.8,0.7,42,18.5,97.3,0.0,100,98.8,100,97,96,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,95.9,22.6,1030,20.1,96,48.6,1.1,3.1,9.6,50.6,11.5,24,101680,73333,61856,55496,76.5,8.4,16.7,28.7,13.0,30.3,17.4,3.9,67.3,28.7,0,0,0,0,85.8,0,6.2,0,8.1,0,144811,1.365,9555012,11884,8802709,74.9,21.1,3.9,752303,5767727,0,8968969,8296097,10319,49.6,8.3,6.1,14.7,21.2,4113760,5117,44,3.6,4.4,0,5.6,0.1,7.1,1.4,2.5,31.4,500 to 999,Non-metropolitan Fast Growing,"$131,514 to < $178,741",$1.3141 to under $1.4301
KNOX CITY-O'BRIEN CISD,138902,138 KNOX,09,Not Rated: Declared State of Disaster,1,251,2,57,39,0.4,0.4,0,1.2,61.4,8.8,16.7,8.8,46.6,0.4,96.4,0.0,100,100,100,19,16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,63.2,33.3,-1,21.6,60.9,29,2.5,3.8,5.4,47.6,14.6,26.2,84917,68253,57150,47449,20.4,4.1,8.7,34,10.5,6.3,13.5,0,10.2,89.8,0,0,0,0,78.1,4.1,5.4,0,12.5,0,301461,1.17,4524798,16821,4504338,56.3,24.6,19.1,20460,1061936,0,3927428,3891702,14467,51.9,11.8,6,11.7,18.6,2020651,7512,30.8,19.8,12.2,0.2,4.4,0.2,3.5,0.6,0.9,27.4,Under 500,Rural,"$288,727 to < $317,442",Under $1.1701
MUNDAY CISD,138903,138 KNOX,09,Not Rated: Declared State of Disaster,2,390,6.2,51.8,38.5,0,0.5,0,3.1,65.4,4.9,17.7,4.9,20,4.9,96.4,1.1,100,100,100,26,24,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,34.6,33.3,.,21,72.2,37.1,1.4,2.9,3.8,51.4,15.2,25.2,115000,80798,53030,50796,27.4,5.4,10.5,14.8,16.6,19.9,16.7,2.7,5.4,91.9,0,0,0,0,80.2,5.8,8.6,0.4,5,0,270248,1.64,6477405,17893,5710279,53,35.7,11.3,767126,2135412,0,5774278,4936357,13636,55.1,9.6,6.3,12.7,16.2,2721765,7519,32.7,7,15.6,0.9,4.9,0.2,4.4,1.1,1,32.2,Under 500,Rural,"$266,163 to < $288,727",$1.4301 and over
BENJAMIN ISD,138904,138 KNOX,09,Not Rated: Declared State of Disaster,1,124,0,38.7,54,0,0,0,7.3,75.8,2.4,11.3,2.4,26.6,5.6,97.3,0.0,100,100,100,8,8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,62.5,0,.,18.8,25.6,14.8,3.9,3.9,0.2,57.9,11.6,22.6,96575,96575,54414,50191,17.6,4.8,8.4,33.4,17.3,0,9.7,0,0,93.6,0,0,0,6.4,88.6,0,7.1,0,4.3,0,531941,1.17,2278856,19312,2090966,47.9,46.2,5.9,187890,573525,0,2605309,2113840,17914,51.8,19.3,0.9,8.9,19.1,1095579,9285,37.2,4.4,6.1,0.1,3.4,0.2,8.4,1.8,1.6,37,Under 500,Rural,"$530,196 to < $559,445",Under $1.1701
CHISUM ISD,139905,139 LAMAR,08,Not Rated: Declared State of Disaster,3,1072,4.3,9,82.8,1.3,0,0,2.6,52.7,4.9,10.6,4.9,35.6,3.8,96.4,0.0,98.3,96,98.5,64,51,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,53.1,38.2,-1,22.2,150.8,81.3,1.3,3.7,3.6,53.9,11.7,25.8,120302,80676,63728,52210,9.8,7.1,13.2,24.6,14.9,13.3,12.8,2.5,1.2,92.8,0,0,0,3.5,78.8,2.3,9.6,0,7.7,1.7,1031523,1.23,14092593,14960,11890177,12.8,80.3,6.9,2202416,3725422,0,20916551,11329223,12027,54.5,8.8,5.9,10.7,20.1,6169864,6550,43,3.3,10.3,0.4,4.7,0.1,2.9,2.8,0,32.6,"1,000 to 1,599",Non-metropolitan Stable,"$847,341 and over",$1.1701 to under $1.3141
PARIS ISD,139909,139 LAMAR,08,Not Rated: Declared State of Disaster,8,3963,32.3,23.1,34.9,0.9,1,0.1,7.8,77.9,10.6,13.2,9.9,23.5,10.9,95.2,0.6,91.7,96,98.2,194,159,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,48.5,28.7,1035,20,607,316.2,1.3,3.3,10.8,52.1,13,19.6,98930,75189,58508,48635,26.5,6.5,12.5,27.5,13.8,22.4,16,10.6,4.1,81.8,1.6,0,0,1.9,60.6,8,12.3,4,5.6,9.6,200699,1.455,44834554,11768,41309198,56.3,25.4,18.3,3525356,10021728,0,45716287,39272705,10308,54.2,5.8,6.2,10.3,23.4,21274552,5584,39.9,9.2,12.3,0.3,3,0.5,2.4,0.7,2.2,29.6,"3,000 to 4,999",Independent Town,"$178,741 to < $225,013",$1.4301 and over
NORTH LAMAR ISD,139911,139 LAMAR,08,Not Rated: Declared State of Disaster,6,2441,4.1,11.2,77,2.4,1.1,0.1,4.1,51.5,3.7,13.2,3.6,27.2,9.2,96.2,1.8,93.3,95.4,97.3,177,117,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50.3,44.9,1124,21.9,418.5,210.4,1,2.2,6.6,50.3,16.7,23.3,94375,72394,55316,49000,7.7,5.8,11.6,20,14.7,17.9,18.8,1.4,1.9,93.5,1.8,1,0,0.5,77.4,8.9,3.4,0,6.1,4.2,483127,1.04,27121475,11043,26271693,28.4,61.5,10.1,849782,8482883,0,26397031,25765355,10491,57.3,7.9,4.8,8.8,21.2,14766577,6012,39.8,17.8,5.8,0.1,4.4,0.9,3.8,2,0.4,25,"1,600 to 2,999",Non-metropolitan Stable,"$472,586 to < $483,611",Under $1.1701
PRAIRILAND ISD,139912,139 LAMAR,08,Not Rated: Declared State of Disaster,4,1133,0.6,8.6,86.5,1.5,0,0,2.8,51.1,2.7,9.2,2.7,29.9,7.1,96.3,0.6,91.6,96.9,97.4,78,62,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,28.2,1045,20.6,152.7,87.1,1.3,3.9,4.7,57,12.2,20.9,98754,76189,55309,49374,2.6,7.4,13,25.3,13.3,8,9.2,0,2.3,94.3,2.3,0,0,1.1,76.7,5.3,3.4,0.4,7.7,6.5,187762,1.17,11127181,9710,10603339,68.1,26.4,5.6,523842,7207178,0,10282372,9584947,8364,58.5,5.9,8.4,9.4,17.8,5604748,4891,45.3,4.9,9.2,0.4,6.2,0.3,5,1,2.7,25.1,"1,000 to 1,599",Non-metropolitan Stable,"$178,741 to < $225,013",Under $1.1701
AMHERST ISD,140901,140 LAMB,17,Not Rated: Declared State of Disaster,1,130,3.8,90,4.6,0,0,0,1.5,87.7,48.5,11.5,48.5,34.6,0.8,96,0.0,100,100,100,14,14,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,64.3,11.1,-1,19.5,32.4,19,3.1,6.2,5,58.6,8.8,18.3,105161,63510,54038,42984,33.6,4,6.8,47.4,7.7,10.5,26.3,0,26.3,68.4,0,0,0,5.3,75.9,4.9,6.6,1.7,10.9,0,304828,1.17,2105297,14826,2088782,63.3,27.2,9.5,16515,563236,0,1996643,1991237,14023,57.5,14,2.8,11.5,14.3,1143931,8056,42.9,3,8.8,1.3,6.4,0.5,2.8,0,0.1,34.4,Under 500,Rural,"$288,727 to < $317,442",Under $1.1701
LITTLEFIELD ISD,140904,140 LAMB,17,Not Rated: Declared State of Disaster,4,1287,4.6,73.9,20,0.2,0.3,0,1.1,73,7.1,11.7,7.1,27.6,2.6,95.4,0.0,98.7,100,100,76,73,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30.3,43.5,1094,19.9,192.1,95.4,1.4,3.1,4.1,49.6,19.1,22.6,126068,88252,65581,50033,39.7,6.7,13.5,26.2,14.9,12.7,12.5,2.1,17.8,80.1,0,0,0,0,75.7,8.1,8.5,0,5.4,2.3,141569,1.04,16936219,12545,16665158,61.7,22.8,15.4,271061,6619711,0,14965275,13736457,10175,56,7.2,6.4,9.6,20.8,7690609,5697,40.4,12.4,14.2,0.3,3.4,0.2,3.8,0.8,1.2,23.2,"1,000 to 1,599",Non-metropolitan Stable,"$131,514 to < $178,741",Under $1.1701
OLTON ISD,140905,140 LAMB,17,Not Rated: Declared State of Disaster,3,599,0.8,76.8,22.2,0,0,0,0.2,72.8,16.5,9.3,16.5,32.9,6,95.9,0.0,95.8,100,100,46,36,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,84.8,12.8,-1,18.3,106.8,53.5,1.9,3.3,5.1,50.1,16.1,23.5,87652,74915,59503,48501,40.8,5.6,11.2,26,14.8,16.7,21.4,1.9,20.4,77.7,0,0,0,0,78.1,7.8,3.7,0,9.3,1.2,216847,1.12,8297059,14159,8087340,66.6,21.5,12,209719,3073689,0,7619460,7502947,12804,51.8,8.3,6.3,10.1,23.6,3885273,6630,37.6,9.5,12.3,1,4.8,0.8,4.7,0.6,1.3,27.3,500 to 999,Rural,"$178,741 to < $225,013",Under $1.1701
SPRINGLAKE-EARTH ISD,140907,140 LAMB,17,Not Rated: Declared State of Disaster,2,326,0.9,71.5,27.6,0,0,0,0,78.5,18.7,16.6,18.7,36.2,6.1,95.1,0.0,100,96.2,100,22,16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,90.9,15,854,-1,67.3,35.1,1.6,3,3,52.2,13,27.2,105427,79213,56556,50441,40.1,4.8,9.3,29.6,15.4,5.6,33.7,0,13.6,86.4,0,0,0,0,76,5.2,5.5,1.1,12.2,0,216242,1.04,4950476,14104,4885403,64.8,24.7,10.6,65073,1273226,0,4950217,4786727,13637,52.7,6.1,4.7,16.5,20,2521163,7183,37.2,3.2,12.6,0.4,4.9,0.3,3.2,0.7,2,35.7,Under 500,Rural,"$178,741 to < $225,013",Under $1.1701
SUDAN ISD,140908,140 LAMB,17,Not Rated: Declared State of Disaster,3,496,2,52.2,44.2,0.4,0,0,1.2,53.8,8.5,10.5,8.5,32.1,7.5,96.6,0.0,100,100,100,23,21,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,24.1,1077,19.9,73.3,44.7,1.4,2.7,5.2,61,9.5,20.2,128484,89296,65361,53747,19.7,6.8,11.1,15.7,14.2,6.7,18.3,2.2,8.9,88.8,0,0,0,0,67.9,6.6,9.9,5.3,10.2,0,954095,1.192,6996205,14729,6283781,9.4,82.9,7.8,712424,5776327,0,6812277,5841337,12298,51.6,8.9,5,12.1,22.4,3014326,6346,37.1,2.7,15,0.5,5.2,0.4,5.3,0.6,1.6,31.8,Under 500,Rural,"$847,341 and over",$1.1701 to under $1.3141
LAMPASAS ISD,141901,141 LAMPASAS,12,Not Rated: Declared State of Disaster,5,3409,2.7,26.2,63.2,0.6,0.9,0.8,5.6,52,3.7,14.6,3.6,30.6,7.6,94.8,0.1,98.8,99.2,100,244,220,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,46.3,40.7,1076,22,517.8,231,1,2.8,7.1,44.6,13.8,30.6,105490,76468,61428,49219,14,6.6,14.8,35.9,11.4,17.1,22.1,1.3,5.6,88.7,0.9,0,0.9,2.6,73.9,9.6,8.8,1.3,6,0.4,349255,1.43,36751475,11013,33267859,43.7,46.9,9.4,3483616,8608341,0,38198254,32378431,9703,50.8,9,5.5,12.6,22.1,16450122,4930,40.9,11.8,5.6,0.2,4.1,0.2,4.3,1.3,0.6,31,"3,000 to 4,999",Other Central City Suburban,"$337,807 to < $360,988",$1.3141 to under $1.4301
LOMETA ISD,141902,141 LAMPASAS,12,Not Rated: Declared State of Disaster,2,341,5.9,53.4,38.1,1.2,0.6,0,0.9,75.4,11.7,13.8,11.4,33.1,0.9,96.3,0.0,100,100,100,17,16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,47.1,37.5,1018,22.5,53.1,25.4,4.8,1.5,8.2,47.8,20.7,16.9,67991,67000,47714,49848,28,6.4,13.4,15.7,16.5,26.1,16,0,15.7,78.9,3.9,1.5,0,0,78.6,3.5,1.7,0,13.6,2.6,447223,1.337,5197383,17984,4769581,39.6,30.1,30.3,427802,702930,0,4196471,3677198,12724,60.7,10,4.1,12.2,13,2232365,7724,33.9,5.4,21.1,1,4.2,0.3,2.9,0.8,0.1,30.3,Under 500,Non-metropolitan Fast Growing,"$407,429 to < $450,515",$1.3141 to under $1.4301
COTULLA ISD,142901,142 LA SALLE,20,Not Rated: Declared State of Disaster,4,1320,0.2,94.7,4.4,0.1,0.4,0,0.2,89.9,7,14.8,6.1,35.9,8.3,94.5,1.0,91.8,91.7,89.8,91,74,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,58.2,24.5,966,17.3,253.4,108.8,1.6,2.4,3.6,42.9,18.7,30.9,97303,91584,57822,49326,85.4,5.2,12.1,36,10.9,11.9,22.1,0.9,72.5,24.8,0.9,0.9,0,0,79.8,8,6.6,0,5.1,0.4,3098470,1.261,30494857,22723,20323413,4.1,84.9,11,10171444,29309592,0,31201136,18269731,13614,50.9,8.2,5,12.4,23.5,9290925,6923,40.3,10.4,9.5,0.2,2.7,0.2,4.5,0.5,0.5,31.3,"1,000 to 1,599",Other Central City Suburban,"$847,341 and over",$1.1701 to under $1.3141
